trade_date,branch,prepared_count,eligible_count,selected_count,filled_count,slot_blocked_count,cash_blocked_count,position_blocked_count,start_available_cash,end_available_cash,start_positions,end_positions
2023-01-03,Auction,8,8,1,1,0,0,0,1000000.0,1000000.0,0,0
2023-01-03,Scorpion,4,0,0,0,0,0,0,1000000.0,1000000.0,0,0
2023-01-04,Scorpion,8,1,1,1,0,0,0,690092.06,690092.06,1,1
2023-01-05,Scorpion,3,0,0,0,0,0,0,344852.5200000001,344852.5200000001,2,2
2023-01-06,Auction,14,14,0,0,0,0,0,1021772.38,1021772.38,0,0
2023-01-06,Scorpion,5,0,0,0,0,0,0,1021772.38,1021772.38,0,0
2023-01-09,Auction,17,17,0,0,0,0,0,1021772.38,1021772.38,0,0
2023-01-09,Scorpion,4,0,0,0,0,0,0,1021772.38,1021772.38,0,0
2023-01-10,Auction,14,14,1,1,0,0,0,1021772.38,1021772.38,0,0
2023-01-12,Scorpion,1,0,0,0,0,0,0,715374.4900000001,715374.4900000001,1,1
2023-01-13,Auction,13,13,1,1,0,0,0,1002793.36,1002793.36,0,0
2023-01-13,Scorpion,4,0,0,0,0,0,0,1002793.36,1002793.36,0,0
2023-01-17,Auction,12,12,0,0,0,0,0,1003961.4900000002,1003961.4900000002,0,0
2023-01-17,YJJ,3,2,2,2,1,0,0,1003961.4900000002,1003961.4900000002,0,0
2023-01-19,Auction,6,6,0,0,0,0,0,1025391.6800000004,1025391.6800000004,0,0
2023-01-20,Auction,6,6,1,1,0,0,0,1025391.6800000004,1025391.6800000004,0,0
2023-01-20,YJJ,3,0,0,0,0,0,0,1025391.6800000004,1025391.6800000004,0,0
2023-01-30,YJJ,5,2,2,2,3,0,0,714308.3800000004,714308.3800000004,1,1
2023-02-01,Auction,11,11,0,0,0,0,0,1063085.3200000003,1063085.3200000003,0,0
2023-02-01,YJJ,2,2,2,2,0,0,0,1063085.3200000003,1063085.3200000003,0,0
2023-02-03,Auction,10,10,0,0,0,0,0,1069298.0400000005,1069298.0400000005,0,0
2023-02-06,Auction,6,6,0,0,0,0,0,1069298.0400000005,1069298.0400000005,0,0
2023-02-06,YJJ,1,0,0,0,0,0,0,1069298.0400000005,1069298.0400000005,0,0
2023-02-07,Auction,8,8,0,0,0,0,0,1069298.0400000005,1069298.0400000005,0,0
2023-02-07,YJJ,2,0,0,0,0,0,0,1069298.0400000005,1069298.0400000005,0,0
2023-02-08,Auction,13,13,0,0,0,0,0,1069298.0400000005,1069298.0400000005,0,0
2023-02-09,Auction,8,8,1,1,0,0,0,1069298.0400000005,1069298.0400000005,0,0
2023-02-13,YJJ,1,0,0,0,0,0,0,747811.6200000003,747811.6200000003,1,1
2023-02-14,YJJ,2,1,1,1,0,0,0,747811.6200000003,747811.6200000003,1,1
2023-02-15,Auction,8,8,1,1,0,0,0,787397.3800000004,787397.3800000004,1,1
2023-02-15,YJJ,2,1,1,1,0,0,0,787397.3800000004,787397.3800000004,1,1
2023-02-16,YJJ,3,1,1,1,2,0,0,384012.24000000034,384012.24000000034,2,2
2023-02-17,RZQ,3,0,0,0,0,0,0,753217.1800000004,753217.1800000004,1,1
2023-02-17,YJJ,3,0,0,0,0,0,0,753217.1800000004,753217.1800000004,1,1
2023-02-21,Auction,15,15,1,1,0,0,0,1032573.5400000004,1032573.5400000004,0,0
2023-02-21,YJJ,5,2,2,2,3,0,0,1032573.5400000004,1032573.5400000004,0,0
2023-02-23,Auction,7,7,0,0,0,0,0,1117793.8000000005,1117793.8000000005,0,0
2023-02-23,ZB,5,4,3,3,1,0,0,1117793.8000000005,1117793.8000000005,0,0
2023-02-24,RZQ,1,0,0,0,0,0,0,9607.440000000292,9607.440000000292,3,3
2023-02-24,ZB,6,4,0,0,4,0,0,9607.440000000292,9607.440000000292,3,3
2023-02-27,Auction,6,6,1,1,0,0,0,726813.8600000003,726813.8600000003,1,1
2023-02-27,RZQ,1,1,1,1,0,0,0,726813.8600000003,726813.8600000003,1,1
2023-02-27,ZB,6,4,0,0,0,2,0,726813.8600000003,726813.8600000003,1,1
2023-02-28,RZQ,1,1,1,1,0,0,0,359084.1500000004,359084.1500000004,2,2
2023-02-28,ZB,14,13,0,0,0,9,0,359084.1500000004,359084.1500000004,2,2
2023-03-01,Auction,5,5,0,0,0,0,0,338627.3000000004,338627.3000000004,2,2
2023-03-02,Auction,12,12,0,0,0,0,0,1060723.3500000006,1060723.3500000006,0,0
2023-03-02,ZB,13,12,3,3,5,0,0,1060723.3500000006,1060723.3500000006,0,0
2023-03-03,ZB,12,11,0,0,6,0,0,-12320.469999999506,-12320.469999999506,3,3
2023-03-06,RZQ,2,0,0,0,0,0,0,302878.2400000005,302878.2400000005,2,2
2023-03-06,ZB,5,0,0,0,0,0,0,302878.2400000005,302878.2400000005,2,2
2023-03-07,Auction,5,5,0,0,0,0,0,1020998.4700000004,1020998.4700000004,0,0
2023-03-07,RZQ,3,3,3,3,0,0,0,1020998.4700000004,1020998.4700000004,0,0
2023-03-07,ZB,10,10,0,0,0,7,0,1020998.4700000004,1020998.4700000004,0,0
2023-03-08,ZB,4,3,0,0,0,3,0,11083.590000000431,11083.590000000431,3,3
2023-03-09,Auction,7,7,0,0,0,0,0,1007686.3200000004,1007686.3200000004,0,0
2023-03-09,ZB,3,3,2,2,0,0,0,1007686.3200000004,1007686.3200000004,0,0
2023-03-10,YJJ,1,1,1,1,0,0,0,10710.320000000473,10710.320000000473,2,2
2023-03-13,Auction,6,6,0,0,0,0,0,496501.49000000046,496501.49000000046,2,2
2023-03-13,ZB,1,0,0,0,0,0,0,496501.49000000046,496501.49000000046,2,2
2023-03-14,YJJ,1,0,0,0,0,0,0,500470.5100000005,500470.5100000005,1,1
2023-03-14,ZB,7,0,0,0,0,0,0,500470.5100000005,500470.5100000005,1,1
2023-03-15,RZQ,1,0,0,0,0,0,0,986411.9700000004,986411.9700000004,0,0
